Category
almond
banana
cardamom
Cherry
chilli
clove
coconut
Coffee-plant
cotton
Cucumber
Fox_nut(Makhana)
gram
jowar
jute
Lemon
maize
mustard-oil
Olive-tree
papaya
Pearl_millet(bajra)
pineapple
rice
soyabean
sugarcane
sunflower
tea
Tobacco-plant
tomato
vigna-radiati(Mung)
wheat
